symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
MBOX,MOBOX,8,0,35,OK,1.1,1.1,OK,['BSC'],
MDT,Measurable Data Token,8,0,32,OK,29,29,OK,['ETH'],
ME,Magic Eden,8,0,100,OK,0.063,0.063,OK,['SOL'],
MEME,Memecoin,2,0,32,OK,260,260,OK,['ETH'],
MERL,Merlin Chain,8,0,10,OK,1,1,OK,['MERL'],
METIS,Metis,8,0,32,OK,0.04,0.04,OK,['ETH'],
MEW,cat in a dogs world,8,0,100,OK,34,34,OK,['SOL'],
MICHI,michi,8,0,100,OK,2.1,2.1,OK,['SOL'],
MINA,Mina,8,0,64,MAINTENANCE,0,0,MAINTENANCE,['MINA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
MIOTA,IOTA,6,0,1,OK,1,1,OK,['MIOTA'],
MKR,Maker,8,0,32,OK,0.00059,0.00059,OK,['ETH'],
MLN,Enzyme,8,0,32,OK,0.076,0.076,OK,['ETH'],
MOCA,Moca Network,8,0,32,OK,1.9,1.9,OK,['ETH'],
MOG,Mog Coin,8,0,32,OK,1500000,1500000,OK,['ETH'],
MOODENG,Moo Deng,6,0,100,OK,1.6,1.6,OK,['SOL'],
MORPHO,Morpho,8,0,32,OK,0.47,0.47,OK,['ETH'],
MOVE,Movement,8,0,32,OK,1.9,1.9,OK,['ETH'],
MOVR,Moonriver,8,0,1,OK,0.003,0.003,OK,['MOVR'],
MTL,Metal,8,0,64,OK,0.1,0.1,OK,['MTL'],
NANO,Nano,6,0,1,OK,0.00025,0.00025,OK,['NANO'],
NEAR,Near Protocol,8,0,0,OK,0.01,0.01,OK,['NEAR'],
NEIRO,First Neiro On Ethereum,8,0,32,OK,2600,2600,OK,['ETH'],
NEO,NEO,8,0,5,OK,0,1,OK,['NEO'],
NFP,NFPrompt,8,0,35,OK,1.1,1.1,OK,['BSC'],
NKN,NKN,8,0,32,OK,16,16,OK,['ETH'],
NMR,Numeraire,8,0,32,OK,0.089,0.089,OK,['ETH'],
NOS,Nosana,8,0,100,OK,0.067,0.067,OK,['SOL'],
NOT,Notcoin,8,0,100,OK,2,2,OK,['TON'],
NPC,Non-Playable Coin,8,0,32,OK,89,89,OK,['ETH'],
NULS,NULS,8,0,40,OK,0.02,0.02,OK,['NULS'],
OGN,Origin Protocol,8,0,32,OK,12,12,OK,['ETH'],
OM,MANTRA,8,0,32,OK,0.12,0.12,OK,['ETH'],
OMNI,Omni Network,8,0,32,OK,0.2,0.2,OK,['ETH'],
ONDO,Ondo,8,0,32,OK,0.71,0.71,OK,['ETH'],
ONE,Harmony,8,0,1,MAINTENANCE,0,0,MAINTENANCE,['ONE'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
ONG,Ontology Gas,8,0,10,OK,0.01,0.01,OK,['ONT'],
ONT,Ontology,8,0,10,OK,0.015,1,OK,['ONT'],
OP,Optimism,8,0,100,OK,0.46,0.46,OK,['OP'],
