market,status,base,quote,pricePrecision,minOrderInBaseAsset,minOrderInQuoteAsset,maxOrderInBaseAsset,maxOrderInQuoteAsset,orderTypes
XLM-USDC,trading,XLM,USDC,5,12.85207,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GLM-EUR,trading,GLM,EUR,5,8,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
HONEY-EUR,trading,HONEY,EUR,5,52.63399016,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PEOPLE-EUR,trading,PEOPLE,EUR,5,66,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TRU-EUR,trading,TRU,EUR,5,38,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ICX-EUR,trading,ICX,EUR,5,16.73,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BICO-EUR,trading,BICO,EUR,5,9.986019573,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
OGN-EUR,trading,OGN,EUR,5,25,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
UXLINK-EUR,trading,UXLINK,EUR,5,8.16593173,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PROM-EUR,trading,PROM,EUR,5,0.44000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BNB-EUR,trading,BNB,EUR,5,0.01,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZRC-EUR,trading,ZRC,EUR,5,81.46876862,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FIDA-EUR,trading,FIDA,EUR,5,20.48528568,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CELR-EUR,trading,CELR,EUR,5,170.28,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GHST-EUR,trading,GHST,EUR,5,2.752294,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AGLD-EUR,trading,AGLD,EUR,5,3.87,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GNS-EUR,trading,GNS,EUR,5,2.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
JST-EUR,trading,JST,EUR,5,90,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FIL-EUR,trading,FIL,EUR,5,0.54,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
RAY-EUR,trading,RAY,EUR,5,1.1457,5.00,1000000000.0000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KAVA-EUR,trading,KAVA,EUR,5,5.57,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SAFE-EUR,trading,SAFE,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
NOT-USDC,trading,NOT,USDC,5,340,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
